,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,card number
0,67,male,2,own,NA,little,1169,6,radio/TV,good,9999
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,1000
2,49,male,1,own,little,NA,2096,12,education,good,1001
3,45,male,2,free,little,little,7882,42,furniture/equipment,good,1002
4,53,male,2,free,little,little,4870,24,car,bad,1003
5,35,male,1,free,NA,NA,9055,36,education,good,1004
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good,1005
7,35,male,3,rent,little,moderate,6948,36,car,good,1006
8,61,male,1,own,rich,NA,3059,12,radio/TV,good,1007
9,28,male,3,own,little,moderate,5234,30,car,bad,1008
10,25,female,2,rent,little,moderate,1295,12,car,bad,1009
11,24,female,2,rent,little,little,4308,48,business,bad,1010
12,22,female,2,own,little,moderate,1567,12,radio/TV,good,1011
13,60,male,1,own,little,little,1199,24,car,bad,1012
14,28,female,2,rent,little,little,1403,15,car,good,1013
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad,1014
16,53,male,2,own,NA,NA,2424,24,radio/TV,good,1015
17,25,male,2,own,NA,little,8072,30,business,good,1016
18,44,female,3,free,little,moderate,12579,24,car,bad,1017
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,good,1018
20,48,male,2,own,little,NA,2134,9,car,good,1019
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good,1020
22,48,male,1,rent,little,little,2241,10,car,good,1021
23,44,male,2,own,moderate,moderate,1804,12,car,good,1022
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,good,1023
25,36,male,1,own,little,little,1374,6,furniture/equipment,good,1024
26,39,male,1,own,little,NA,426,6,radio/TV,good,1025
27,42,female,2,rent,rich,rich,409,12,radio/TV,good,1026
28,34,male,2,own,little,moderate,2415,7,radio/TV,good,1027
29,63,male,2,own,little,little,6836,60,business,bad,1028
30,36,male,2,own,rich,moderate,1913,18,business,good,1029
31,27,male,2,own,little,little,4020,24,furniture/equipment,good,1030
32,30,male,2,own,moderate,moderate,5866,18,car,good,1031
33,57,male,1,rent,NA,NA,1264,12,business,good,1032
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,1033
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad,1034
36,31,male,2,free,little,NA,6110,48,education,good,1035
37,37,male,2,own,little,rich,2100,18,radio/TV,bad,1036
38,37,male,2,own,little,rich,1225,10,domestic appliances,good,1037
39,24,male,2,own,little,moderate,458,9,radio/TV,good,1038
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,good,1039
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,1040
42,44,male,1,own,little,moderate,6204,18,repairs,good,1041
43,24,male,2,rent,moderate,little,6187,30,car,good,1042
44,58,female,1,free,little,little,6143,48,car,bad,1043
45,35,female,3,own,little,NA,1393,11,car,good,1044
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,good,1045
47,23,female,0,rent,quite rich,little,1352,6,car,good,1046
48,39,male,1,own,little,NA,7228,11,car,good,1047
49,28,female,2,own,moderate,NA,2073,12,radio/TV,good,1048
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,good,1049
51,30,male,3,own,little,moderate,5965,27,car,good,1050
52,25,male,2,own,little,NA,1262,12,radio/TV,good,1051
53,31,male,2,own,NA,NA,3378,18,car,good,1052
54,57,male,2,free,little,moderate,2225,36,car,bad,1053
55,26,male,1,own,NA,NA,783,6,car,good,1054
56,52,male,3,own,NA,moderate,6468,12,radio/TV,bad,1055
57,31,female,2,own,little,NA,9566,36,radio/TV,good,1056
58,23,female,3,own,little,rich,1961,18,car,good,1057
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,1058
60,27,male,2,own,little,moderate,1391,9,business,good,1059
61,50,male,2,own,NA,moderate,1537,15,radio/TV,good,1060
62,61,male,3,free,little,moderate,1953,36,business,bad,1061
63,25,male,2,own,little,moderate,14421,48,business,bad,1062
64,26,female,2,own,little,NA,3181,24,radio/TV,good,1063
65,48,male,2,own,NA,NA,5190,27,repairs,good,1064
66,29,female,2,own,little,NA,2171,12,radio/TV,good,1065
67,22,male,2,own,rich,moderate,1007,12,car,good,1066
